Attack,Type,Epsilon,Success Rate,Avg Perturbation
FGSM,Untargeted,ε=0.01,0.000,0.0000
FGSM,Untargeted,ε=0.03,0.000,0.0000
FGSM,Untargeted,ε=0.05,0.000,0.0000
FGSM,Untargeted,ε=0.1,0.000,0.0000
FGSM,Targeted,ε=0.01,0.000,0.0000
FGSM,Targeted,ε=0.03,0.000,0.0000
FGSM,Targeted,ε=0.05,0.000,0.0000
FGSM,Targeted,ε=0.1,0.000,0.0000
PGD,Untargeted,ε=0.01,0.000,0.0000
PGD,Untargeted,ε=0.03,0.000,0.0000
PGD,Untargeted,ε=0.05,0.000,0.0000
PGD,Untargeted,ε=0.1,0.000,0.0000
PGD,Targeted,ε=0.01,0.000,0.0000
PGD,Targeted,ε=0.03,0.000,0.0000
PGD,Targeted,ε=0.05,0.000,0.0000
PGD,Targeted,ε=0.1,0.000,0.0000
